Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,12045660,20130327,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492,..
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3089027,2689469,2648285,2607733,2567801,2528480,2489762,2451636,2414095,2377128,..
"Population, total",SP.POP.TOTL,Algeria,DZA,25375810,30903893,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219,46814308,..
"Population, total",SP.POP.TOTL,American Samoa,ASM,46640,56855,52245,51586,50908,50209,49761,49225,48342,47521,46765,..
"Population, total",SP.POP.TOTL,Andorra,AND,52597,65685,72181,73763,75162,76474,77380,78364,79705,80856,81938,..
"Population, total",SP.POP.TOTL,Angola,AGO,11626360,16194869,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,37885849,..
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,63066,74912,89969,90468,90926,91364,91846,92349,92840,93316,93772,..
"Population, total",SP.POP.TOTL,Argentina,ARG,32755901,37213984,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401,45696159,..
"Population, total",SP.POP.TOTL,Armenia,ARM,3552128,3221100,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2964300,3033500,..
"Population, total",SP.POP.TOTL,Aruba,ABW,62753,90588,108727,108735,108908,109203,108587,107700,107310,107359,107995,..
"Population, total",SP.POP.TOTL,Australia,AUS,17065128,19028802,24190907,24592588,24963258,25334826,25649248,25685412,26018721,26659922,27196812,..
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761,9177982,..
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7175200,8048600,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958,10202830,..
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,275945,323835,388055,390485,392717,394675,395863,396373,397538,399440,401283,..
"Population, total",SP.POP.TOTL,Bahrain,BHR,514797,637582,1423726,1501116,1503091,1483756,1472204,1504365,1524693,1577059,1588670,..
"Population, total",SP.POP.TOTL,Bangladesh,BGD,111633717,134544304,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990,173562364,..
